DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,FlightType,Passenger_Count
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,Domestic,Scheduled Carriers,2006038
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,International,Charter,2
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,International,Commuter,4465
2014-05-01T00:00:00,2007-07-01T00:00:00,Arrival,International,Scheduled Carriers,872071
2014-05-01T00:00:00,2007-07-01T00:00:00,Departure,Domestic,Charter,975
2014-05-01T00:00:00,2007-07-01T00:00:00,Departure,Domestic,Commuter,159189
2014-05-01T00:00:00,2007-07-01T00:00:00,Departure,Domestic,Scheduled Carriers,2010458
2014-05-01T00:00:00,2007-07-01T00:00:00,Departure,International,Commuter,4277
2014-05-01T00:00:00,2007-07-01T00:00:00,Departure,International,Scheduled Carriers,833172
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,Domestic,Charter,245
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,Domestic,Commuter,156909
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,Domestic,Scheduled Carriers,1961775
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,International,Charter,6
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,International,Commuter,4503
2014-05-01T00:00:00,2007-08-01T00:00:00,Arrival,International,Scheduled Carriers,848122
2014-05-01T00:00:00,2007-08-01T00:00:00,Departure,Domestic,Charter,497
2014-05-01T00:00:00,2007-08-01T00:00:00,Departure,Domestic,Commuter,160293
2014-05-01T00:00:00,2007-08-01T00:00:00,Departure,Domestic,Scheduled Carriers,2011990
2014-05-01T00:00:00,2007-08-01T00:00:00,Departure,International,Commuter,4776
2014-05-01T00:00:00,2007-08-01T00:00:00,Departure,International,Scheduled Carriers,790432
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,Domestic,Charter,2134
2014-05-01T00:00:00,2007-09-01T00:00:00,Arrival,Domestic,Commuter,151727
